date,harga_beras_nasional
2017-01-05,9600.0
2017-01-06,9800.0
2017-01-07,10475.0
2017-01-08,11150.0
2017-01-09,11216.666666666666
2017-01-10,11283.333333333334
2017-01-11,11350.0
2017-01-12,10700.0
2017-01-13,10725.0
2017-01-14,10750.0
2017-01-15,10775.0
2017-01-16,10800.0
2017-01-17,10825.0
2017-01-18,10850.0
2017-01-19,10875.0
2017-01-20,10900.0
2017-01-21,10925.0
2017-01-22,10950.0
2017-01-23,10975.0
2017-01-24,11000.0
2017-01-25,11025.0
2017-01-26,11050.0
2017-01-27,11075.0
2017-01-28,11100.0
2017-01-29,11125.0
2017-01-30,11150.0
2017-01-31,11175.0
2017-02-01,11200.0
2017-02-02,11225.0
2017-02-03,11250.0
2017-02-04,11275.0
2017-02-05,11300.0
2017-02-06,11350.0
2017-02-07,11250.0
2017-02-08,11150.0
2017-02-09,11225.0
2017-02-10,11300.0
2017-02-11,11350.0
2017-02-12,11361.904761904761
2017-02-13,11373.809523809523
2017-02-14,11385.714285714286
2017-02-15,11397.619047619048
2017-02-16,11409.52380952381
2017-02-17,11421.42857142857
2017-02-18,11433.333333333334
2017-02-19,11445.238095238095
2017-02-20,11457.142857142857
2017-02-21,11469.047619047618
2017-02-22,11480.952380952382
2017-02-23,11492.857142857143
2017-02-24,11504.761904761905
2017-02-25,11516.666666666666
2017-02-26,11528.57142857143
2017-02-27,11540.47619047619
2017-02-28,11552.380952380952
2017-03-01,11564.285714285714
2017-03-02,11576.190476190477
2017-03-03,11588.095238095239
2017-03-04,11600.0
2017-03-05,11250.0
2017-03-06,11300.0
2017-03-07,11350.0
2017-03-08,11150.0
2017-03-09,11225.0
2017-03-10,11300.0
2017-03-11,11350.0
2017-03-12,11339.583333333334
2017-03-13,11329.166666666666
2017-03-14,11318.75
2017-03-15,11308.333333333334
2017-03-16,11297.916666666666
2017-03-17,11287.5
2017-03-18,11277.083333333334
2017-03-19,11266.666666666666
2017-03-20,11256.25
2017-03-21,11245.833333333334
2017-03-22,11235.416666666666
2017-03-23,11225.0
2017-03-24,11214.583333333334
2017-03-25,11204.166666666666
2017-03-26,11193.75
2017-03-27,11183.333333333334
2017-03-28,11172.916666666666
2017-03-29,11162.5
2017-03-30,11152.083333333334
2017-03-31,11141.666666666666
2017-04-01,11131.25
2017-04-02,11120.833333333334
2017-04-03,11110.416666666666
2017-04-04,11100.0
2017-04-05,11300.0
2017-04-06,11200.0
2017-04-07,11100.0
2017-04-08,11250.0
2017-04-09,11200.0
2017-04-10,11300.0
2017-04-11,11350.0
2017-04-12,11400.0
2017-04-13,11397.727272727272
2017-04-14,11395.454545454546
2017-04-15,11393.181818181818
2017-04-16,11390.90909090909
2017-04-17,11388.636363636364
2017-04-18,11386.363636363636
2017-04-19,11384.09090909091
2017-04-20,11381.818181818182
2017-04-21,11379.545454545454
2017-04-22,11377.272727272728
2017-04-23,11375.0
2017-04-24,11372.727272727272
2017-04-25,11370.454545454546
2017-04-26,11368.181818181818
2017-04-27,11365.90909090909
2017-04-28,11363.636363636364
2017-04-29,11361.363636363636
2017-04-30,11359.09090909091
2017-05-01,11356.818181818182
2017-05-02,11354.545454545454
2017-05-03,11352.272727272728
2017-05-04,11350.0
2017-05-05,11300.0
2017-05-06,11350.0
2017-05-07,11150.0
2017-05-08,11200.0
2017-05-09,11250.0
2017-05-10,11300.0
2017-05-11,11350.0
2017-05-12,11400.0
2017-05-13,11391.304347826086
2017-05-14,11382.608695652174
2017-05-15,11373.91304347826
2017-05-16,11365.217391304348
2017-05-17,11356.521739130434
2017-05-18,11347.826086956522
2017-05-19,11339.130434782608
2017-05-20,11330.434782608696
2017-05-21,11321.739130434782
2017-05-22,11313.04347826087
2017-05-23,11304.347826086956
2017-05-24,11295.652173913044
2017-05-25,11286.95652173913
2017-05-26,11278.260869565218
2017-05-27,11269.565217391304
2017-05-28,11260.869565217392
2017-05-29,11252.173913043478
2017-05-30,11243.478260869566
2017-05-31,11234.782608695652
2017-06-01,11226.08695652174
2017-06-02,11217.391304347826
2017-06-03,11208.695652173914
2017-06-04,11200.0
2017-06-05,11275.0
2017-06-06,11350.0
2017-06-07,11050.0
2017-06-08,11125.0
2017-06-09,11200.0
2017-06-10,11350.0
2017-06-11,11350.0
2017-06-12,11400.0
2017-06-13,11395.454545454546
2017-06-14,11390.90909090909
2017-06-15,11386.363636363636
2017-06-16,11381.818181818182
2017-06-17,11377.272727272728
2017-06-18,11372.727272727272
2017-06-19,11368.181818181818
2017-06-20,11363.636363636364
2017-06-21,11359.09090909091
2017-06-22,11354.545454545454
2017-06-23,11350.0
2017-06-24,11345.454545454546
2017-06-25,11340.90909090909
2017-06-26,11336.363636363636
2017-06-27,11331.818181818182
2017-06-28,11327.272727272728
2017-06-29,11322.727272727272
2017-06-30,11318.181818181818
2017-07-01,11313.636363636364
2017-07-02,11309.09090909091
2017-07-03,11304.545454545454
2017-07-04,11300.0
2017-07-05,11325.0
2017-07-06,11350.0
2017-07-07,11000.0
2017-07-08,11150.0
2017-07-09,11200.0
2017-07-10,11275.0
2017-07-11,11350.0
2017-07-12,11450.0
2017-07-13,11445.833333333334
2017-07-14,11441.666666666666
2017-07-15,11437.5
2017-07-16,11433.333333333334
2017-07-17,11429.166666666666
2017-07-18,11425.0
2017-07-19,11420.833333333334
2017-07-20,11416.666666666666
2017-07-21,11412.5
2017-07-22,11408.333333333334
2017-07-23,11404.166666666666
2017-07-24,11400.0
2017-07-25,11395.833333333334
2017-07-26,11391.666666666666
2017-07-27,11387.5
2017-07-28,11383.333333333334
2017-07-29,11379.166666666666
2017-07-30,11375.0
2017-07-31,11370.833333333334
2017-08-01,11366.666666666666
2017-08-02,11362.5
2017-08-03,11358.333333333334
2017-08-04,11354.166666666666
2017-08-05,11350.0
2017-08-06,10500.0
2017-08-07,10825.0
2017-08-08,11150.0
2017-08-09,11250.0
2017-08-10,11275.0
2017-08-11,11300.0
2017-08-12,11450.0
2017-08-13,11445.833333333334
2017-08-14,11441.666666666666
2017-08-15,11437.5
2017-08-16,11433.333333333334
2017-08-17,11429.166666666666
2017-08-18,11425.0
2017-08-19,11420.833333333334
2017-08-20,11416.666666666666
2017-08-21,11412.5
2017-08-22,11408.333333333334
2017-08-23,11404.166666666666
2017-08-24,11400.0
2017-08-25,11395.833333333334
2017-08-26,11391.666666666666
2017-08-27,11387.5
2017-08-28,11383.333333333334
2017-08-29,11379.166666666666
2017-08-30,11375.0
2017-08-31,11370.833333333334
2017-09-01,11366.666666666666
2017-09-02,11362.5
2017-09-03,11358.333333333334
2017-09-04,11354.166666666666
2017-09-05,11350.0
2017-09-06,11350.0
2017-09-07,11250.0
2017-09-08,11150.0
2017-09-09,11250.0
2017-09-10,11350.0
2017-09-11,11300.0
2017-09-12,11295.652173913044
2017-09-13,11291.304347826086
2017-09-14,11286.95652173913
2017-09-15,11282.608695652174
2017-09-16,11278.260869565218
2017-09-17,11273.91304347826
2017-09-18,11269.565217391304
2017-09-19,11265.217391304348
2017-09-20,11260.869565217392
2017-09-21,11256.521739130434
2017-09-22,11252.173913043478
2017-09-23,11247.826086956522
2017-09-24,11243.478260869566
2017-09-25,11239.130434782608
2017-09-26,11234.782608695652
2017-09-27,11230.434782608696
2017-09-28,11226.08695652174
2017-09-29,11221.739130434782
2017-09-30,11217.391304347826
2017-10-01,11213.04347826087
2017-10-02,11208.695652173914
2017-10-03,11204.347826086956
2017-10-04,11200.0
2017-10-05,11350.0
2017-10-06,11225.0
2017-10-07,11100.0
2017-10-08,11150.0
2017-10-09,11250.0
2017-10-10,11350.0
2017-10-11,11350.0
2017-10-12,11341.666666666666
2017-10-13,11333.333333333334
2017-10-14,11325.0
2017-10-15,11316.666666666666
2017-10-16,11308.333333333334
2017-10-17,11300.0
2017-10-18,11291.666666666666
2017-10-19,11283.333333333334
2017-10-20,11275.0
2017-10-21,11266.666666666666
2017-10-22,11258.333333333334
2017-10-23,11250.0
2017-10-24,11241.666666666666
2017-10-25,11233.333333333334
2017-10-26,11225.0
2017-10-27,11216.666666666666
2017-10-28,11208.333333333334
2017-10-29,11200.0
2017-10-30,11191.666666666666
2017-10-31,11183.333333333334
2017-11-01,11175.0
2017-11-02,11166.666666666666
2017-11-03,11158.333333333334
2017-11-04,11150.0
2017-11-05,9700.0
2017-11-06,10350.0
2017-11-07,11000.0
2017-11-08,11200.0
2017-11-09,11250.0
2017-11-10,11300.0
2017-11-11,11375.0
2017-11-12,11450.0
2017-11-13,11445.454545454546
2017-11-14,11440.90909090909
2017-11-15,11436.363636363636
2017-11-16,11431.818181818182
2017-11-17,11427.272727272728
2017-11-18,11422.727272727272
2017-11-19,11418.181818181818
2017-11-20,11413.636363636364
2017-11-21,11409.09090909091
2017-11-22,11404.545454545454
2017-11-23,11400.0
2017-11-24,11395.454545454546
2017-11-25,11390.90909090909
2017-11-26,11386.363636363636
2017-11-27,11381.818181818182
2017-11-28,11377.272727272728
2017-11-29,11372.727272727272
2017-11-30,11368.181818181818
2017-12-01,11363.636363636364
2017-12-02,11359.09090909091
2017-12-03,11354.545454545454
2017-12-04,11350.0
2017-12-05,11350.0
2017-12-06,11300.0
2017-12-07,11050.0
2017-12-08,11150.0
2017-12-09,11250.0
2017-12-10,11300.0
2017-12-11,11375.0
2017-12-12,11450.0
2017-12-13,11430.0
2017-12-14,11410.0
2017-12-15,11390.0
2017-12-16,11370.0
2017-12-17,11350.0
2017-12-18,11330.0
2017-12-19,11310.0
2017-12-20,11290.0
2017-12-21,11270.0
2017-12-22,11250.0
2017-12-23,11230.0
2017-12-24,11210.0
2017-12-25,11190.0
2017-12-26,11170.0
2017-12-27,11150.0
2017-12-28,11130.0
2017-12-29,11110.0
2017-12-30,11090.0
2017-12-31,11070.0
2018-01-01,11050.0
2018-01-02,12050.0
2018-01-03,11950.0
2018-01-04,11325.0
2018-01-05,10700.0
2018-01-06,11016.666666666666
2018-01-07,11333.333333333334
2018-01-08,11650.0
2018-01-09,11650.0
2018-01-10,11650.0
2018-01-11,11700.0
2018-01-12,11700.0
2018-01-13,11700.0
2018-01-14,11700.0
2018-01-15,11700.0
2018-01-16,11700.0
2018-01-17,11700.0
2018-01-18,11700.0
2018-01-19,11700.0
2018-01-20,11700.0
2018-01-21,11700.0
2018-01-22,11700.0
2018-01-23,11700.0
2018-01-24,11700.0
2018-01-25,11700.0
2018-01-26,11700.0
2018-01-27,11700.0
2018-01-28,11700.0
2018-01-29,11700.0
2018-01-30,11700.0
2018-01-31,11700.0
2018-02-01,11700.0
2018-02-02,12050.0
2018-02-03,11950.0
2018-02-04,11850.0
2018-02-05,11700.0
2018-02-06,11675.0
2018-02-07,11650.0
2018-02-08,11650.0
2018-02-09,11650.0
2018-02-10,11650.0
2018-02-11,11700.0
2018-02-12,11700.0
2018-02-13,11700.0
2018-02-14,11700.0
2018-02-15,11700.0
2018-02-16,11700.0
2018-02-17,11700.0
2018-02-18,11700.0
2018-02-19,11700.0
2018-02-20,11700.0
2018-02-21,11700.0
2018-02-22,11700.0
2018-02-23,11700.0
2018-02-24,11700.0
2018-02-25,11700.0
2018-02-26,11700.0
2018-02-27,11700.0
2018-02-28,11700.0
2018-03-01,11700.0
2018-03-02,11733.333333333334
2018-03-03,11766.666666666666
2018-03-04,11800.0
2018-03-05,11700.0
2018-03-06,11675.0
2018-03-07,11650.0
2018-03-08,11650.0
2018-03-09,11650.0
2018-03-10,11650.0
2018-03-11,11700.0
2018-03-12,11750.0
2018-03-13,11747.5
2018-03-14,11745.0
2018-03-15,11742.5
2018-03-16,11740.0
2018-03-17,11737.5
2018-03-18,11735.0
2018-03-19,11732.5
2018-03-20,11730.0
2018-03-21,11727.5
2018-03-22,11725.0
2018-03-23,11722.5
2018-03-24,11720.0
2018-03-25,11717.5
2018-03-26,11715.0
2018-03-27,11712.5
2018-03-28,11710.0
2018-03-29,11707.5
2018-03-30,11705.0
2018-03-31,11702.5
2018-04-01,11700.0
2018-04-02,11733.333333333334
2018-04-03,11766.666666666666
2018-04-04,11800.0
2018-04-05,11700.0
2018-04-06,11650.0
2018-04-07,11650.0
2018-04-08,11650.0
2018-04-09,11650.0
2018-04-10,11700.0
2018-04-11,11725.0
2018-04-12,11750.0
2018-04-13,11750.0
2018-04-14,11750.0
2018-04-15,11750.0
2018-04-16,11750.0
2018-04-17,11750.0
2018-04-18,11750.0
2018-04-19,11750.0
2018-04-20,11750.0
2018-04-21,11750.0
2018-04-22,11750.0
2018-04-23,11750.0
2018-04-24,11750.0
2018-04-25,11750.0
2018-04-26,11750.0
2018-04-27,11750.0
2018-04-28,11750.0
2018-04-29,11750.0
2018-04-30,11750.0
2018-05-01,11750.0
2018-05-02,12050.0
2018-05-03,11950.0
2018-05-04,11800.0
2018-05-05,11725.0
2018-05-06,11650.0
2018-05-07,11650.0
2018-05-08,11650.0
2018-05-09,11650.0
2018-05-10,11700.0
2018-05-11,11700.0
2018-05-12,11750.0
2018-05-13,11764.285714285714
2018-05-14,11778.57142857143
2018-05-15,11792.857142857143
2018-05-16,11807.142857142857
2018-05-17,11821.42857142857
2018-05-18,11835.714285714286
2018-05-19,11850.0
2018-05-20,11864.285714285714
2018-05-21,11878.57142857143
2018-05-22,11892.857142857143
2018-05-23,11907.142857142857
2018-05-24,11921.42857142857
2018-05-25,11935.714285714286
2018-05-26,11950.0
2018-05-27,11964.285714285714
2018-05-28,11978.57142857143
2018-05-29,11992.857142857143
2018-05-30,12007.142857142857
2018-05-31,12021.42857142857
2018-06-01,12035.714285714286
2018-06-02,12050.0
2018-06-03,11900.0
2018-06-04,11800.0
2018-06-05,11725.0
2018-06-06,11650.0
2018-06-07,11650.0
2018-06-08,11600.0
2018-06-09,11600.0
2018-06-10,11650.0
2018-06-11,11700.0
2018-06-12,11750.0
2018-06-13,11765.0
2018-06-14,11780.0
2018-06-15,11795.0
2018-06-16,11810.0
2018-06-17,11825.0
2018-06-18,11840.0
2018-06-19,11855.0
2018-06-20,11870.0
2018-06-21,11885.0
2018-06-22,11900.0
2018-06-23,11915.0
2018-06-24,11930.0
2018-06-25,11945.0
2018-06-26,11960.0
2018-06-27,11975.0
2018-06-28,11990.0
2018-06-29,12005.0
2018-06-30,12020.0
2018-07-01,12035.0
2018-07-02,12050.0
2018-07-03,11950.0
2018-07-04,11825.0
2018-07-05,11700.0
2018-07-06,11650.0
2018-07-07,11625.0
2018-07-08,11600.0
2018-07-09,11650.0
2018-07-10,11675.0
2018-07-11,11700.0
2018-07-12,11750.0
2018-07-13,11752.5
2018-07-14,11755.0
2018-07-15,11757.5
2018-07-16,11760.0
2018-07-17,11762.5
2018-07-18,11765.0
2018-07-19,11767.5
2018-07-20,11770.0
2018-07-21,11772.5
2018-07-22,11775.0
2018-07-23,11777.5
2018-07-24,11780.0
2018-07-25,11782.5
2018-07-26,11785.0
2018-07-27,11787.5
2018-07-28,11790.0
2018-07-29,11792.5
2018-07-30,11795.0
2018-07-31,11797.5
2018-08-01,11800.0
2018-08-02,12050.0
2018-08-03,11900.0
2018-08-04,11775.0
2018-08-05,11650.0
2018-08-06,11650.0
2018-08-07,11625.0
2018-08-08,11600.0
2018-08-09,11625.0
2018-08-10,11650.0
2018-08-11,11700.0
2018-08-12,11704.761904761905
2018-08-13,11709.52380952381
2018-08-14,11714.285714285714
2018-08-15,11719.047619047618
2018-08-16,11723.809523809523
2018-08-17,11728.57142857143
2018-08-18,11733.333333333334
2018-08-19,11738.095238095239
2018-08-20,11742.857142857143
2018-08-21,11747.619047619048
2018-08-22,11752.380952380952
2018-08-23,11757.142857142857
2018-08-24,11761.904761904761
2018-08-25,11766.666666666666
2018-08-26,11771.42857142857
2018-08-27,11776.190476190477
2018-08-28,11780.952380952382
2018-08-29,11785.714285714286
2018-08-30,11790.47619047619
2018-08-31,11795.238095238095
2018-09-01,11800.0
2018-09-02,12050.0
2018-09-03,11900.0
2018-09-04,11800.0
2018-09-05,11650.0
2018-09-06,11625.0
2018-09-07,11600.0
2018-09-08,11650.0
2018-09-09,11650.0
2018-09-10,11650.0
2018-09-11,11700.0
2018-09-12,11705.0
2018-09-13,11710.0
2018-09-14,11715.0
2018-09-15,11720.0
2018-09-16,11725.0
2018-09-17,11730.0
2018-09-18,11735.0
2018-09-19,11740.0
2018-09-20,11745.0
2018-09-21,11750.0
2018-09-22,11755.0
2018-09-23,11760.0
2018-09-24,11765.0
2018-09-25,11770.0
2018-09-26,11775.0
2018-09-27,11780.0
2018-09-28,11785.0
2018-09-29,11790.0
2018-09-30,11795.0
2018-10-01,11800.0
2018-10-02,11783.333333333334
2018-10-03,11766.666666666666
2018-10-04,11750.0
2018-10-05,10800.0
2018-10-06,11225.0
2018-10-07,11650.0
2018-10-08,11650.0
2018-10-09,11650.0
2018-10-10,11650.0
2018-10-11,11700.0
2018-10-12,11750.0
2018-10-13,11755.0
2018-10-14,11760.0
2018-10-15,11765.0
2018-10-16,11770.0
2018-10-17,11775.0
2018-10-18,11780.0
2018-10-19,11785.0
2018-10-20,11790.0
2018-10-21,11795.0
2018-10-22,11800.0
2018-10-23,11805.0
2018-10-24,11810.0
2018-10-25,11815.0
2018-10-26,11820.0
2018-10-27,11825.0
2018-10-28,11830.0
2018-10-29,11835.0
2018-10-30,11840.0
2018-10-31,11845.0
2018-11-01,11850.0
2018-11-02,11833.333333333334
2018-11-03,11816.666666666666
2018-11-04,11800.0
2018-11-05,11650.0
2018-11-06,11650.0
2018-11-07,11650.0
2018-11-08,11125.0
2018-11-09,10600.0
2018-11-10,11650.0
2018-11-11,11700.0
2018-11-12,11750.0
2018-11-13,11757.894736842105
2018-11-14,11765.78947368421
2018-11-15,11773.684210526315
2018-11-16,11781.578947368422
2018-11-17,11789.473684210527
2018-11-18,11797.368421052632
2018-11-19,11805.263157894737
2018-11-20,11813.157894736842
2018-11-21,11821.052631578947
2018-11-22,11828.947368421053
2018-11-23,11836.842105263158
2018-11-24,11844.736842105263
2018-11-25,11852.631578947368
2018-11-26,11860.526315789473
2018-11-27,11868.421052631578
2018-11-28,11876.315789473685
2018-11-29,11884.21052631579
2018-11-30,11892.105263157895
2018-12-01,11900.0
2018-12-02,12050.0
2018-12-03,11900.0
2018-12-04,11750.0
2018-12-05,11700.0
2018-12-06,11650.0
2018-12-07,11650.0
2018-12-08,11650.0
2018-12-09,11650.0
2018-12-10,11700.0
2018-12-11,11700.0
2018-12-12,11750.0
2018-12-13,11782.5
2018-12-14,11815.0
2018-12-15,11847.5
2018-12-16,11880.0
2018-12-17,11912.5
2018-12-18,11945.0
2018-12-19,11977.5
2018-12-20,12010.0
2018-12-21,12042.5
2018-12-22,12075.0
2018-12-23,12107.5
2018-12-24,12140.0
2018-12-25,12172.5
2018-12-26,12205.0
2018-12-27,12237.5
2018-12-28,12270.0
2018-12-29,12302.5
2018-12-30,12335.0
2018-12-31,12367.5
2019-01-01,12400.0
2019-01-02,11900.0
2019-01-03,11850.0
2019-01-04,11700.0
2019-01-05,11550.0
2019-01-06,11600.0
2019-01-07,11650.0
2019-01-08,11650.0
2019-01-09,11650.0
2019-01-10,11650.0
2019-01-11,11700.0
2019-01-12,11704.761904761905
2019-01-13,11709.52380952381
2019-01-14,11714.285714285714
2019-01-15,11719.047619047618
2019-01-16,11723.809523809523
2019-01-17,11728.57142857143
2019-01-18,11733.333333333334
2019-01-19,11738.095238095239
2019-01-20,11742.857142857143
2019-01-21,11747.619047619048
2019-01-22,11752.380952380952
2019-01-23,11757.142857142857
2019-01-24,11761.904761904761
2019-01-25,11766.666666666666
2019-01-26,11771.42857142857
2019-01-27,11776.190476190477
2019-01-28,11780.952380952382
2019-01-29,11785.714285714286
2019-01-30,11790.47619047619
2019-01-31,11795.238095238095
2019-02-01,11800.0
2019-02-02,11783.333333333334
2019-02-03,11766.666666666666
2019-02-04,11750.0
2019-02-05,11650.0
2019-02-06,11650.0
2019-02-07,11650.0
2019-02-08,11650.0
2019-02-09,11650.0
2019-02-10,11700.0
2019-02-11,11700.0
2019-02-12,11700.0
2019-02-13,11705.882352941177
2019-02-14,11711.764705882353
2019-02-15,11717.64705882353
2019-02-16,11723.529411764706
2019-02-17,11729.411764705883
2019-02-18,11735.29411764706
2019-02-19,11741.176470588236
2019-02-20,11747.058823529413
2019-02-21,11752.941176470587
2019-02-22,11758.823529411764
2019-02-23,11764.70588235294
2019-02-24,11770.588235294117
2019-02-25,11776.470588235294
2019-02-26,11782.35294117647
2019-02-27,11788.235294117647
2019-02-28,11794.117647058823
2019-03-01,11800.0
2019-03-02,11600.0
2019-03-03,11400.0
2019-03-04,11200.0
2019-03-05,11600.0
2019-03-06,11600.0
2019-03-07,11650.0
2019-03-08,11650.0
2019-03-09,11650.0
2019-03-10,11700.0
